Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev
UB-Even,"9",3404.00608550000,514957.97519799997,11.82180842970,4.78413527333,64,18.8901842534542,0.295159128960222,0.286072015762329,0.0579610378536538
UB-Variable,"10",2651.20309470000,388149.55782099999,8.91068773693,3.60604181377,49,11.3094630762935,0.230805368903948,0.244380384683609,0.0675027160165327
UB-Variable,"8",2753.98254495000,450548.63740900002,10.34317349420,4.18575055130,62,15.0946639329195,0.243462321498702,0.251965120434761,0.0564606168861849
UB-Control,"7",2491.50702099000,392657.14275900001,9.01416764827,3.64791881566,53,18.9099775701761,0.356792029625965,0.370950311422348,0.0716186100655914
UB-Control,"12",2744.57965877000,375284.05160300003,8.61533635453,3.48651687180,50,16.2202444523573,0.324404889047146,0.311602428555489,0.0669838062480379
UB-Even,"11",2665.86226499000,389837.14894799999,8.94942949836,3.62172011109,52,12.8020865768194,0.246193972631143,0.235894903540611,0.0528543194423605
B-Variable,"2",2800.90096435000,488749.52624799998,11.22014523070,4.54064984128,65,18.2769012451172,0.281183096078726,0.274078696966171,0.0712544507500574
B-Even,"1",2966.60299639000,423537.98653400003,9.72309427306,3.93481238969,58,15.8067828342319,0.272530738521239,0.270697519183159,0.0822940499517709
B-Control,"3",2782.19010868000,458793.16372100002,10.53244177500,4.26234501345,62,15.1448922678828,0.244272455933594,0.245740815997124,0.0779435641008737
UB-Even,"4",2764.87621788000,457395.81215499999,10.50036299710,4.24936314068,60,20.6519230753183,0.344198717921972,0.345047190785408,0.0490931102840063
UB-Control,"6",2777.17007660000,444069.71132300003,10.19443781730,4.12555911761,57,22.7297301888466,0.398767196295554,0.409171909093857,0.0502006678847782
UB-Variable,"5",2731.45432459000,483908.32187099999,11.10900647090,4.49567340098,67,18.9781516119838,0.283255994208713,0.277616888284683,0.0724812824771468
B-Variable,"15",3698.76877483000,476636.48632899998,10.94206809760,4.42811556794,66,16.4840236008167,0.249757933345708,0.245881453156471,0.0498204957373071
B-Even,"17",3448.17244987000,447617.68165699998,10.27588800860,4.15852097243,56,12.4930915236473,0.223090920065131,0.227203033864498,0.0553628331617191
B-Control,"19",3641.41059676000,441134.06461100001,10.12704464210,4.09828595812,57,16.0954927504063,0.282377065796601,0.299350947141647,0.0591464007830714
B-Variable,"18",3742.60308690000,491434.48764700000,11.28178346300,4.56559404869,65,15.2826584428549,0.235117822197767,0.240057468414307,0.0601305623325016
B-Control,"16",3509.87652099000,510553.56269400002,11.72069703150,4.74321677856,64,19.0181565135717,0.297158695524558,0.287782043218613,0.0718215924712223
UB-Even,"24",3223.35355911000,514404.40823700000,11.80910028090,4.77899244741,70,20.2669378593564,0.289527683705091,0.291849538683891,0.0695367268543723
UB-Control,"20",3412.58177941000,499731.83655000001,11.47226438360,4.64267925073,62,20.3411179035902,0.3280825468321,0.339558720588684,0.0751423160412149
B-Variable,"22",2964.32612640000,453367.11078300001,10.40787673970,4.21193513050,56,15.2451500594616,0.272234822490386,0.271760076284409,0.0706049343847969
UB-Variable,"21",3088.85955111000,468369.04930999997,10.75227385930,4.35130825749,58,13.7827835027128,0.237634198322635,0.245110474526882,0.0565431828564973
B-Even,"23",3183.03031461000,443218.40205999999,10.17489444580,4.11765016411,59,17.8044953942299,0.301771108376778,0.299287229776382,0.0559861047291323
B-Even,"13",3150.56651384000,561911.37088199996,12.89971007530,5.22034833792,67,17.2403257191181,0.257318294315196,0.25676304101944,0.0577173909228002
B-Control,"14",2912.50507204000,477916.07410400000,10.97144339080,4.44000337491,64,18.2576874271035,0.285276366048492,0.286483436822891,0.0578711573369348
