Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev,year,month,day
UB-Even,9,3404.0060855,514957.975198,11.8218084297,4.78413527333,64,14.6144250631332,0.228350391611457,0.231502398848534,0.0503706021479114,2021,6,2
UB-Variable,10,2651.2030947,388149.557821,8.91068773693,3.60604181377,49,8.57075340300798,0.174913334755265,0.182025507092476,0.0583848215159962,2021,6,2
UB-Variable,8,2753.98254495,450548.637409,10.3431734942,4.1857505513,62,12.2607492990792,0.19775402095289,0.205072611570358,0.0501368958610457,2021,6,2
UB-Control,7,2491.50702099,392657.142759,9.01416764827,3.64791881566,53,15.1909639909863,0.286621962094082,0.297071158885956,0.0692429631636239,2021,6,2
UB-Control,12,2744.57965877,375284.051603,8.61533635453,3.4865168718,50,13.7037324607372,0.274074649214745,0.270066812634468,0.0617316230663317,2021,6,2
UB-Even,11,2665.86226499,389837.148948,8.94942949836,3.62172011109,52,9.45377474278212,0.181803360438118,0.186580523848534,0.0515000851561272,2021,6,2
B-Variable,2,2800.90096435,488749.526248,11.2201452307,4.54064984128,65,17.1760021299124,0.264246186614037,0.266619026660919,0.0565757438476526,2021,6,2
B-Even,1,2966.60299639,423537.986534,9.72309427306,3.93481238969,58,11.0330118872225,0.190224342883147,0.199014782905579,0.0862566508361284,2021,6,2
B-Control,3,2782.19010868,458793.163721,10.532441775,4.26234501345,62,11.3074661763385,0.182378486715137,0.188520595431328,0.0763763348998882,2021,6,2
UB-Even,4,2764.87621788,457395.812155,10.5003629971,4.24936314068,60,16.3356407731771,0.272260679552952,0.271430641412735,0.0439538625216999,2021,6,2
UB-Control,6,2777.1700766,444069.711323,10.1944378173,4.12555911761,57,18.4005275219679,0.322816272315226,0.33161461353302,0.0464871602511205,2021,6,2
UB-Variable,5,2731.45432459,483908.321871,11.1090064709,4.49567340098,67,14.9874603822827,0.223693438541533,0.226098045706749,0.0666691982838188,2021,6,2
B-Variable,15,3698.76877483,476636.486329,10.9420680976,4.42811556794,66,14.3892528787255,0.218018983010993,0.218222074210644,0.0516597291941624,2021,6,2
B-Even,17,3448.17244987,447617.681657,10.2758880086,4.15852097243,56,10.3771661669016,0.185306538694671,0.193908087909222,0.0603468922970589,2021,6,2
B-Control,19,3641.41059676,441134.064611,10.1270446421,4.09828595812,57,12.7868603458628,0.224330883260751,0.241149961948395,0.0596624182882497,2021,6,2
B-Variable,18,3742.6030869,491434.487647,11.281783463,4.56559404869,65,10.9103393428959,0.167851374506091,0.17614521086216,0.0582857832717856,2021,6,2
