Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2000-01-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2000-01-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2000-01-18,0.00,100.00,0.00,0.00,0.00,0.00,100
2000-01-25,84.78,15.22,0.00,0.00,0.00,0.00,15
2000-02-01,99.86,0.14,0.00,0.00,0.00,0.00,0
2000-02-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-02-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-02-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-02-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-03-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-03-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-03-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-03-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-04-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-04-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-04-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-04-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-05-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-05-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-05-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-05-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-05-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-06-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-06-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-06-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-06-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-07-04,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-07-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-08-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-09-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-09-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-09-19,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-09-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-10-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-10-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-10-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-10-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-10-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-11-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-11-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-11-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-11-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-12-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-12-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-12-19,100.00,0.00,0.00,0.00,0.00,0.00,0
2000-12-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2001-01-02,75.81,24.19,0.00,0.00,0.00,0.00,24
2001-01-09,29.45,70.55,0.00,0.00,0.00,0.00,71
2001-01-16,90.45,9.55,0.00,0.00,0.00,0.00,10
2001-01-23,50.36,49.64,0.00,0.00,0.00,0.00,50
2001-01-30,51.41,48.59,0.00,0.00,0.00,0.00,49
2001-02-06,18.22,81.78,0.00,0.00,0.00,0.00,82
2001-02-13,0.17,99.83,0.00,0.00,0.00,0.00,100
2001-02-20,0.17,99.83,0.00,0.00,0.00,0.00,100
2001-02-27,0.17,99.83,0.00,0.00,0.00,0.00,100
2001-03-06,0.17,99.83,0.00,0.00,0.00,0.00,100
2001-03-13,0.17,99.83,0.00,0.00,0.00,0.00,100
2001-03-20,0.17,99.83,0.00,0.00,0.00,0.00,100
2001-03-27,0.17,99.83,0.00,0.00,0.00,0.00,100
2001-04-03,0.16,99.84,0.00,0.00,0.00,0.00,100
2001-04-10,16.41,83.59,0.00,0.00,0.00,0.00,84
2001-04-17,12.47,87.53,0.00,0.00,0.00,0.00,88
2001-04-24,12.47,87.53,0.00,0.00,0.00,0.00,88
2001-05-01,12.47,87.53,0.00,0.00,0.00,0.00,88
2001-05-08,12.47,87.53,0.00,0.00,0.00,0.00,88
2001-05-15,0.08,99.92,32.94,0.00,0.00,0.00,133
2001-05-22,0.08,99.92,32.94,0.00,0.00,0.00,133
2001-05-29,0.08,99.92,32.95,0.00,0.00,0.00,133
2001-06-05,0.00,100.00,32.94,0.00,0.00,0.00,133
2001-06-12,0.00,100.00,36.04,0.00,0.00,0.00,136
2001-06-19,0.00,100.00,27.27,0.00,0.00,0.00,127
2001-06-26,0.00,100.00,42.72,0.00,0.00,0.00,143
2001-07-03,0.00,100.00,42.72,1.36,0.00,0.00,144
2001-07-10,0.04,99.96,31.05,1.06,0.00,0.00,132
2001-07-17,0.00,100.00,31.05,1.03,0.00,0.00,132
2001-07-24,0.00,100.00,31.05,1.03,0.00,0.00,132
2001-07-31,0.00,100.00,31.05,1.04,0.00,0.00,132
2001-08-07,0.00,100.00,31.05,1.04,0.00,0.00,132
2001-08-14,0.00,100.00,31.05,1.03,0.00,0.00,132
2001-08-21,0.00,100.00,71.34,32.56,2.81,0.00,207
2001-08-28,0.00,100.00,99.28,78.81,19.89,0.00,298
2001-09-04,0.00,100.00,99.28,78.81,19.89,0.00,298
2001-09-11,0.00,100.00,100.00,97.42,19.88,0.00,317
2001-09-18,0.00,100.00,100.00,97.42,19.88,0.00,317
2001-09-25,0.00,100.00,100.00,97.42,19.88,0.00,317
2001-10-02,0.00,100.00,100.00,97.42,19.89,0.00,317
2001-10-09,0.00,100.00,100.00,97.42,19.89,0.00,317
2001-10-16,0.00,100.00,100.00,97.42,19.89,0.00,317
2001-10-23,0.00,100.00,100.00,97.42,19.89,0.00,317
2001-10-30,0.00,100.00,100.00,96.11,19.89,0.00,316
2001-11-06,0.00,100.00,100.00,96.11,19.89,0.00,316
2001-11-13,0.00,100.00,100.00,96.11,19.89,0.00,316
2001-11-20,0.00,100.00,100.00,96.53,19.89,0.00,316
2001-11-27,0.00,100.00,100.00,96.53,19.89,0.00,316
2001-12-04,0.00,100.00,100.00,65.83,0.00,0.00,266
2001-12-11,0.00,100.00,100.00,65.85,0.00,0.00,266
2001-12-18,0.00,100.00,100.00,65.85,0.00,0.00,266
2001-12-25,0.00,100.00,60.71,27.12,0.00,0.00,188
2002-01-01,30.66,69.34,6.24,0.00,0.00,0.00,76
2002-01-08,98.43,1.57,0.00,0.00,0.00,0.00,2
2002-01-15,97.66,2.34,0.00,0.00,0.00,0.00,2
2002-01-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2002-01-29,99.88,0.12,0.00,0.00,0.00,0.00,0
2002-02-05,99.12,0.88,0.00,0.00,0.00,0.00,1
2002-02-12,85.19,14.81,0.00,0.00,0.00,0.00,15
2002-02-19,91.44,8.56,0.00,0.00,0.00,0.00,9
2002-02-26,93.51,6.49,0.00,0.00,0.00,0.00,6
2002-03-05,91.67,8.33,0.00,0.00,0.00,0.00,8
2002-03-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2002-03-19,96.04,3.96,0.00,0.00,0.00,0.00,4
2002-03-26,94.02,5.98,0.00,0.00,0.00,0.00,6
2002-04-02,95.87,4.13,0.00,0.00,0.00,0.00,4
2002-04-09,94.29,5.71,0.00,0.00,0.00,0.00,6
2002-04-16,84.52,15.48,0.00,0.00,0.00,0.00,15
2002-04-23,87.46,12.54,0.00,0.00,0.00,0.00,13
2002-04-30,89.71,10.29,0.00,0.00,0.00,0.00,10
2002-05-07,89.59,10.41,0.00,0.00,0.00,0.00,10
2002-05-14,87.41,12.59,0.00,0.00,0.00,0.00,13
2002-05-21,89.67,10.33,0.00,0.00,0.00,0.00,10
2002-05-28,0.00,100.00,8.77,0.00,0.00,0.00,109
2002-06-04,0.00,100.00,12.79,0.00,0.00,0.00,113
2002-06-11,0.00,100.00,16.28,0.00,0.00,0.00,116
2002-06-18,0.00,100.00,43.04,0.00,0.00,0.00,143
2002-06-25,0.00,100.00,60.79,0.00,0.00,0.00,161
2002-07-02,0.00,100.00,65.30,0.00,0.00,0.00,165
2002-07-09,0.00,100.00,66.02,0.00,0.00,0.00,166
2002-07-16,0.00,100.00,36.70,0.00,0.00,0.00,137
2002-07-23,0.00,100.00,47.67,0.00,0.00,0.00,148
2002-07-30,0.00,100.00,42.75,0.00,0.00,0.00,143
2002-08-06,0.00,100.00,42.80,0.00,0.00,0.00,143
2002-08-13,0.00,100.00,44.69,0.00,0.00,0.00,145
2002-08-20,0.00,100.00,47.67,0.00,0.00,0.00,148
2002-08-27,0.00,100.00,45.23,0.00,0.00,0.00,145
2002-09-03,0.00,100.00,42.39,0.00,0.00,0.00,142
2002-09-10,0.00,100.00,43.86,0.00,0.00,0.00,144
2002-09-17,0.00,100.00,42.10,0.00,0.00,0.00,142
